,YEAR,SEX,STATE,COUNTY,GEOID,RACE,AGE,SSP1,SSP2,SSP3,SSP4,SSP5
1038762,2030,1,37,1,37001,1,1,2298.5675756285973,2365.246222054035,1845.4829574171215,2041.9975125819005,2874.6957050863866
1038763,2030,1,37,1,37001,1,2,2505.0305094047594,2558.387080379445,2139.1411096393563,2314.580357294067,2981.359764624806
1038764,2030,1,37,1,37001,1,3,2750.47300094114,2788.674254795903,2483.075819727105,2611.9091444951323,3109.050043748125
1038765,2030,1,37,1,37001,1,4,3387.8160886281207,3406.0235792578133,3197.291040451187,3283.0064502205028,3632.7655136322433
1038766,2030,1,37,1,37001,1,5,2944.408753582569,2941.419656395248,2893.879842501918,2940.7305987353584,2987.6983504800264
1038767,2030,1,37,1,37001,1,6,2563.895474716323,2558.7981364262523,2458.9593079859196,2557.8108654456337,2656.9353212903548
1038768,2030,1,37,1,37001,1,7,2190.1159442016697,2184.689094633732,2049.1347624238883,2183.109636871821,2318.5939425901324
1038769,2030,1,37,1,37001,1,8,2690.5709951569,2681.6187832854644,2521.017372955628,2680.1921890599483,2842.802056123735
1038770,2030,1,37,1,37001,1,9,3750.1058137040413,3734.119671079183,3538.0718140774184,3733.4756350925495,3933.8779261836853
1038771,2030,1,37,1,37001,1,10,3240.1480520386285,3220.9737840330376,3097.159209100384,3221.326091458286,3348.705056626409
1038772,2030,1,37,1,37001,1,11,2920.1000267563873,2897.7612539194524,2801.4534030225627,2898.6263855588195,2994.4091902380183
1038773,2030,1,37,1,37001,1,12,3486.480750061637,3447.6583067350175,3348.6391485800946,3447.9888637306353,3544.9081675538373
1038774,2030,1,37,1,37001,1,13,3598.170414267901,3540.1266621722993,3439.499800169057,3540.3915411772277,3638.3450332208363
1038775,2030,1,37,1,37001,1,14,3804.995736350147,3717.7448715281344,3604.981591632503,3717.6895112160632,3827.4396340596068
