"","id","Latitude","Longitude"
"X",0,36.0716949662592,-79.4197651662884
"X.1",1,36.0917231463072,-79.4189546700532
"X.2",2,36.0945991241026,-79.4486518162005
"X.3",3,36.0789800547594,-79.3982436370412
"X.4",4,36.0888318760395,-79.4681586578493
"X.5",5,36.1027599139322,-79.4662790721745
"X.6",6,36.0693204078718,-79.4494081538176
"X.7",7,36.0929164307649,-79.5117785362894
"X.8",8,35.9999983077479,-79.4862107067165
"X.9",9,36.0701619158906,-79.3872755538846
"X.10",10,36.0441097677102,-79.3795690020031
"X.11",11,36.1003122470399,-79.3964719951479
"X.12",12,36.1085613613631,-79.4191668038049
"X.13",13,35.9034444792247,-79.487479805777
"X.14",14,36.0752701130882,-79.4692471698319
"X.15",15,36.0493941109282,-79.4605219655476
"X.16",16,36.061266574479,-79.5104319704299
"X.17",17,35.866894507353,-79.3447567191384
"X.18",18,36.1914276078638,-79.3124512281227
"X.19",19,36.0793336071928,-79.2912314171934
"X.20",20,35.9174010522879,-79.3541552495426
"X.21",21,36.0399976349903,-79.4159761743664
"X.22",22,36.082701502382,-79.4420549070564
"X.23",23,36.1074154817106,-79.5319190655171
"X.24",24,36.052052895375,-79.3155369641103
"X.25",25,35.9781838393907,-79.2978837540847
"X.26",26,36.1138335200336,-79.2878228319449
"X.27",27,35.9823791911012,-79.3900571698615
"X.28",28,36.0786715558112,-79.4270189187345
"X.29",29,36.1850550030306,-79.4020062142692
"X.30",30,36.1055648682068,-79.3464842600906
"X.31",31,36.1296327538507,-79.5043182642485
"X.32",32,36.1963092459075,-79.4856087741884
"X.33",33,36.0937460192796,-79.490142065345
"X.34",34,36.0223042591425,-79.3388475090847
"X.35",35,36.1214819273254,-79.4447952180969
"X.36",36,35.8425499391455,-81.3220572739252
"X.37",37,35.8397350678361,-81.2853488616062
"X.38",38,35.9232818969858,-81.2816952416068
"X.39",39,36.0065391938553,-81.0660109470203
"X.40",40,35.9407350809565,-81.040010136898
"X.41",41,35.9855680752116,-81.2398880383262
"X.42",42,35.8358821962448,-81.1051025115438
"X.43",43,35.929291693834,-81.0967935334661
"X.44",44,35.870477413975,-81.0516412318044
"X.45",45,35.9985481116709,-81.1651922363219
"X.46",46,35.8619746426078,-81.1643262289309
"X.47",47,35.9401564187946,-81.1565528334717
"X.48",48,35.9020605231159,-81.1438371985192
"X.49",49,35.9270517720136,-81.2012781717214
"X.50",50,35.8788576006285,-81.1937853556884
"X.51",51,35.8431581799537,-81.2245667718451
"X.52",52,36.4932056694009,-81.2521267785731
"X.53",53,36.5484766684312,-81.2789392991461
"X.54",54,36.4352520043771,-81.0180475711232
"X.55",55,36.5254448999859,-81.118288682977
"X.56",56,36.5247471228442,-80.9804970332831
"X.57",57,36.4246725320631,-81.2221196674608
"X.58",58,36.4570985305734,-81.1377792281395
"X.59",59,34.9925816703945,-80.2619211018542
"X.60",60,34.8721268113359,-80.248004780921
"X.61",61,34.9830705755372,-79.9432955994466
"X.62",62,35.0104992155728,-80.0863826179375
"X.63",63,34.9445558405279,-80.1393644365898
"X.64",64,34.9318866339962,-80.0639723237626
